Dataset,ModelType,FeatureSet,SamplingScenario,SamplingMethod,SamplingRatio,CandidateRank,MeanCV_ROC_on_resampled_train,StdCV_ROC_on_resampled_train,MeanFitTime_sec,Params
ERa_BLA_assay,RandomForest,rdkit,balanced_oversampling,oversampling,1.0,1,0.9787042414753836,0.004148352204456845,2.468226432800293,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'bootstrap': True}"
ERa_BLA_assay,RandomForest,rdkit,balanced_oversampling,oversampling,1.0,2,0.9718862318291626,0.0024549660630118113,3.4539026419321694,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 8, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}"
ERa_BLA_assay,RandomForest,rdkit,balanced_oversampling,oversampling,1.0,3,0.9692600355209886,0.004065806585448404,0.8226504325866699,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}"
ERa_BLA_assay,RandomForest,rdkit,balanced_oversampling,oversampling,1.0,4,0.9665159970707812,0.0020721939586301683,1.507125457127889,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 25, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}"
ERa_BLA_assay,RandomForest,rdkit,balanced_oversampling,oversampling,1.0,5,0.9639908083129214,0.0044921397541174924,1.5947314898173015,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'bootstrap': True}"
ERa_LUC_VM7_assay,RandomForest,all_available,negative_5x_oversampling,oversampling,0.2,1,0.9952560932660922,0.0005847096997634151,13.131197849909464,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'bootstrap': True}"
ERa_LUC_VM7_assay,RandomForest,all_available,negative_5x_oversampling,oversampling,0.2,2,0.9899897250451118,0.0018179069194045805,43.88155539830526,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 25, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}"
ERa_LUC_VM7_assay,RandomForest,all_available,negative_5x_oversampling,oversampling,0.2,3,0.9794290320121121,0.00403949998679109,62.562180042266846,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 8, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}"
ERa_LUC_VM7_assay,RandomForest,all_available,negative_5x_oversampling,oversampling,0.2,4,0.9621671077998889,0.002183149782489428,5.3195756276448565,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'bootstrap': True}"
ERa_LUC_VM7_assay,RandomForest,all_available,negative_5x_oversampling,oversampling,0.2,5,0.9593060956260642,0.0008741461526138299,4.292950789133708,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}"
