ROC,AP,F1,Accuracy,BalancedAccuracy,Recall,Specificity,Precision,TN,FP,FN,TP,Dataset,ModelFamily,ModelName,FeatureStrategy,FeatureSet,SamplingScenario,SamplingMethod,SamplingRatio,FeatureCount,TrainClass0_after_sampling,TrainClass1_after_sampling,Top4FeatureSets,Weights,Views
0.8930369127516778,0.8130149524869922,0.7045454545454546,0.868020304568528,0.7927153243847875,0.6458333333333334,0.9395973154362416,0.775,140,9,17,31,ERa_BLA_assay,Gatekeeper,Tuned RF,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,597.0,597.0,,,
0.8902404921700223,0.8101734647194058,0.6923076923076923,0.8781725888324873,0.7711828859060403,0.5625,0.9798657718120806,0.9,146,3,21,27,ERa_BLA_assay,SameFeatureAdvanced,Stacking_LR_Meta_Passthrough_False,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,,,,,
0.8902404921700223,0.818944947314954,0.7058823529411765,0.8730964467005076,0.7890100671140939,0.625,0.9530201342281879,0.8108108108108109,142,7,18,30,ERa_BLA_assay,MultiView,MultiView_EqualWeight,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available,MultiView,balanced_oversampling,oversampling,1.0,7,,,,equal,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available
0.8889821029082774,0.8165960008034743,0.6987951807228916,0.8730964467005076,0.7819491051454138,0.6041666666666666,0.959731543624161,0.8285714285714286,143,6,19,29,ERa_BLA_assay,MultiView,MultiView_LinearMeta,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available,MultiView,balanced_oversampling,oversampling,1.0,7,,,,"[[0.5428, 0.9661, 1.0615, 1.021, 1.1344, 0.616, 1.2545]]",morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available
0.8882829977628636,0.8195895816744624,0.6976744186046512,0.868020304568528,0.7856543624161074,0.625,0.9463087248322147,0.7894736842105263,141,8,18,30,ERa_BLA_assay,FeatureSetEnsemble,Top4_FeatureSet_EqualWeight,maccs_morgan + avalon_rdkit + maccs_avalon + maccs_rdkit,Top4ValidationSelected,balanced_oversampling,oversampling,1.0,4004,,,maccs_morgan | avalon_rdkit | maccs_avalon | maccs_rdkit,0.25 each,
0.8824105145413871,0.8014606953093296,0.6590909090909091,0.8477157360406091,0.765170581655481,0.6041666666666666,0.9261744966442953,0.725,138,11,19,29,ERa_BLA_assay,SameFeatureAdvanced,Voting_With_Gatekeeper,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,,,,,
0.877167225950783,0.8077489876626792,0.6111111111111112,0.8578680203045685,0.7224552572706935,0.4583333333333333,0.9865771812080537,0.9166666666666666,147,2,26,22,ERa_BLA_assay,SameFeatureAdvanced,Stacking_RF_Meta_Passthrough_True,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,,,,,
0.8659116331096196,0.7894904656758919,0.6666666666666666,0.8527918781725888,0.7685262863534675,0.6041666666666666,0.9328859060402684,0.7435897435897436,139,10,19,29,ERa_BLA_assay,SameFeatureAdvanced,Voting_Without_Gatekeeper,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,,,,,
0.9118993135011442,0.9523403814921563,0.8692307692307693,0.8017492711370262,0.7086575133485888,0.9912280701754386,0.4260869565217391,0.773972602739726,49,66,2,226,ERa_LUC_VM7_assay,SameFeatureAdvanced,Stacking_LR_Meta_Passthrough_False,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,,,,,
0.9102021357742183,0.9523682787588769,0.8795180722891566,0.8250728862973761,0.7585240274599543,0.9605263157894737,0.5565217391304348,0.8111111111111111,64,51,9,219,ERa_LUC_VM7_assay,SameFeatureAdvanced,Stacking_RF_Meta_Passthrough_True,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,,,,,
0.9087719298245615,0.949964512865775,0.8564814814814815,0.8192419825072886,0.823093058733791,0.8114035087719298,0.8347826086956521,0.9068627450980392,96,19,43,185,ERa_LUC_VM7_assay,SameFeatureAdvanced,Voting_With_Gatekeeper,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,,,,,
0.9086956521739129,0.9513250510295258,0.8571428571428571,0.8163265306122449,0.8101258581235697,0.8289473684210527,0.7913043478260869,0.8873239436619719,91,24,39,189,ERa_LUC_VM7_assay,Gatekeeper,RF sampling gatekeeper,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,4545.0,909.0,,,
0.9085049580472921,0.9495045064902708,0.8693693693693694,0.8309037900874635,0.8232456140350877,0.8464912280701754,0.8,0.8935185185185185,92,23,35,193,ERa_LUC_VM7_assay,FeatureSetEnsemble,Top4_FeatureSet_EqualWeight,rdkit + morgan_rdkit + maccs_rdkit + avalon_rdkit,Top4ValidationSelected,negative_5x_oversampling,oversampling,0.2,3082,,,rdkit | morgan_rdkit | maccs_rdkit | avalon_rdkit,0.25 each,
0.9072273073989321,0.9491003077399821,0.8741721854304636,0.8338192419825073,0.8168192219679634,0.868421052631579,0.7652173913043478,0.88,88,27,30,198,ERa_LUC_VM7_assay,MultiView,MultiView_EqualWeight,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available,MultiView,negative_5x_oversampling,oversampling,0.2,7,,,,equal,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available
0.9060259344012205,0.9490399469161857,0.8752642706131079,0.8279883381924198,0.7887299771167049,0.9078947368421053,0.6695652173913044,0.8448979591836735,77,38,21,207,ERa_LUC_VM7_assay,MultiView,MultiView_LinearMeta,morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available,MultiView,negative_5x_oversampling,oversampling,0.2,7,,,,"[[1.1343, 0.0588, 1.5127, 0.8717, 1.4693, 1.2054, 0.6449]]",morgan | maccs | rdkit | avalon | maccs_rdkit | morgan_rdkit | all_available
0.90255530129672,0.9421962846997857,0.8470588235294118,0.8104956268221575,0.8208237986270023,0.7894736842105263,0.8521739130434782,0.9137055837563451,98,17,48,180,ERa_LUC_VM7_assay,SameFeatureAdvanced,Voting_Without_Gatekeeper,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,,,,,
